NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
1,Brasil,2,%,72.65,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199102,fevereiro 1991
1,Brasil,2,%,63.15,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199103,março 1991
1,Brasil,2,%,41.86,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199104,abril 1991
1,Brasil,2,%,26.24,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199105,maio 1991
1,Brasil,2,%,25.41,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199106,junho 1991
1,Brasil,2,%,34.28,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199107,julho 1991
1,Brasil,2,%,44.52,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199108,agosto 1991
1,Brasil,2,%,50.30,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199109,setembro 1991
1,Brasil,2,%,60.75,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199110,outubro 1991
1,Brasil,2,%,74.07,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199111,novembro 1991
1,Brasil,2,%,86.23,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199112,dezembro 1991
1,Brasil,2,%,95.08,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199201,janeiro 1992
1,Brasil,2,%,93.69,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199202,fevereiro 1992
1,Brasil,2,%,90.08,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199203,março 1992
1,Brasil,2,%,81.00,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199204,abril 1992
1,Brasil,2,%,81.79,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199205,maio 1992
1,Brasil,2,%,80.01,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199206,junho 1992
1,Brasil,2,%,82.86,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199207,julho 1992
1,Brasil,2,%,78.88,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199208,agosto 1992
1,Brasil,2,%,85.45,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199209,setembro 1992
1,Brasil,2,%,90.64,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199210,outubro 1992
1,Brasil,2,%,91.19,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199211,novembro 1992
1,Brasil,2,%,92.13,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199212,dezembro 1992
1,Brasil,2,%,99.97,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199301,janeiro 1993
1,Brasil,2,%,104.03,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199302,fevereiro 1993
1,Brasil,2,%,107.32,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199303,março 1993
1,Brasil,2,%,103.19,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199304,abril 1993
1,Brasil,2,%,107.59,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199305,maio 1993
1,Brasil,2,%,112.18,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199306,junho 1993
1,Brasil,2,%,117.11,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199307,julho 1993
1,Brasil,2,%,126.07,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199308,agosto 1993
1,Brasil,2,%,135.84,1,Brasil,2263,IPCA - Variação acumulada em 3 meses,199309,setembro 1993
