NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
1,Brasil,2,%,1.53,1,Brasil,63,IPCA - Variação mensal,199409,setembro 1994
1,Brasil,2,%,2.62,1,Brasil,63,IPCA - Variação mensal,199410,outubro 1994
1,Brasil,2,%,2.81,1,Brasil,63,IPCA - Variação mensal,199411,novembro 1994
1,Brasil,2,%,1.71,1,Brasil,63,IPCA - Variação mensal,199412,dezembro 1994
1,Brasil,2,%,1.70,1,Brasil,63,IPCA - Variação mensal,199501,janeiro 1995
1,Brasil,2,%,1.02,1,Brasil,63,IPCA - Variação mensal,199502,fevereiro 1995
1,Brasil,2,%,1.55,1,Brasil,63,IPCA - Variação mensal,199503,março 1995
1,Brasil,2,%,2.43,1,Brasil,63,IPCA - Variação mensal,199504,abril 1995
1,Brasil,2,%,2.67,1,Brasil,63,IPCA - Variação mensal,199505,maio 1995
1,Brasil,2,%,2.26,1,Brasil,63,IPCA - Variação mensal,199506,junho 1995
1,Brasil,2,%,2.36,1,Brasil,63,IPCA - Variação mensal,199507,julho 1995
1,Brasil,2,%,0.99,1,Brasil,63,IPCA - Variação mensal,199508,agosto 1995
1,Brasil,2,%,0.99,1,Brasil,63,IPCA - Variação mensal,199509,setembro 1995
1,Brasil,2,%,1.41,1,Brasil,63,IPCA - Variação mensal,199510,outubro 1995
1,Brasil,2,%,1.47,1,Brasil,63,IPCA - Variação mensal,199511,novembro 1995
1,Brasil,2,%,1.56,1,Brasil,63,IPCA - Variação mensal,199512,dezembro 1995
1,Brasil,2,%,1.34,1,Brasil,63,IPCA - Variação mensal,199601,janeiro 1996
1,Brasil,2,%,1.03,1,Brasil,63,IPCA - Variação mensal,199602,fevereiro 1996
1,Brasil,2,%,0.35,1,Brasil,63,IPCA - Variação mensal,199603,março 1996
1,Brasil,2,%,1.26,1,Brasil,63,IPCA - Variação mensal,199604,abril 1996
1,Brasil,2,%,1.22,1,Brasil,63,IPCA - Variação mensal,199605,maio 1996
1,Brasil,2,%,1.19,1,Brasil,63,IPCA - Variação mensal,199606,junho 1996
1,Brasil,2,%,1.11,1,Brasil,63,IPCA - Variação mensal,199607,julho 1996
1,Brasil,2,%,0.44,1,Brasil,63,IPCA - Variação mensal,199608,agosto 1996
1,Brasil,2,%,0.15,1,Brasil,63,IPCA - Variação mensal,199609,setembro 1996
1,Brasil,2,%,0.30,1,Brasil,63,IPCA - Variação mensal,199610,outubro 1996
1,Brasil,2,%,0.32,1,Brasil,63,IPCA - Variação mensal,199611,novembro 1996
1,Brasil,2,%,0.47,1,Brasil,63,IPCA - Variação mensal,199612,dezembro 1996
1,Brasil,2,%,1.18,1,Brasil,63,IPCA - Variação mensal,199701,janeiro 1997
1,Brasil,2,%,0.50,1,Brasil,63,IPCA - Variação mensal,199702,fevereiro 1997
1,Brasil,2,%,0.51,1,Brasil,63,IPCA - Variação mensal,199703,março 1997
1,Brasil,2,%,0.88,1,Brasil,63,IPCA - Variação mensal,199704,abril 1997
1,Brasil,2,%,0.41,1,Brasil,63,IPCA - Variação mensal,199705,maio 1997
1,Brasil,2,%,0.54,1,Brasil,63,IPCA - Variação mensal,199706,junho 1997
1,Brasil,2,%,0.22,1,Brasil,63,IPCA - Variação mensal,199707,julho 1997
1,Brasil,2,%,-0.02,1,Brasil,63,IPCA - Variação mensal,199708,agosto 1997
1,Brasil,2,%,0.06,1,Brasil,63,IPCA - Variação mensal,199709,setembro 1997
1,Brasil,2,%,0.23,1,Brasil,63,IPCA - Variação mensal,199710,outubro 1997
1,Brasil,2,%,0.17,1,Brasil,63,IPCA - Variação mensal,199711,novembro 1997
1,Brasil,2,%,0.43,1,Brasil,63,IPCA - Variação mensal,199712,dezembro 1997
1,Brasil,2,%,0.71,1,Brasil,63,IPCA - Variação mensal,199801,janeiro 1998
