NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
1,Brasil,2,%,2.29,1,Brasil,69,IPCA - Variação acumulada no ano,199806,junho 1998
1,Brasil,2,%,2.17,1,Brasil,69,IPCA - Variação acumulada no ano,199807,julho 1998
1,Brasil,2,%,1.65,1,Brasil,69,IPCA - Variação acumulada no ano,199808,agosto 1998
1,Brasil,2,%,1.42,1,Brasil,69,IPCA - Variação acumulada no ano,199809,setembro 1998
1,Brasil,2,%,1.44,1,Brasil,69,IPCA - Variação acumulada no ano,199810,outubro 1998
1,Brasil,2,%,1.32,1,Brasil,69,IPCA - Variação acumulada no ano,199811,novembro 1998
1,Brasil,2,%,1.65,1,Brasil,69,IPCA - Variação acumulada no ano,199812,dezembro 1998
1,Brasil,2,%,0.70,1,Brasil,69,IPCA - Variação acumulada no ano,199901,janeiro 1999
1,Brasil,2,%,1.76,1,Brasil,69,IPCA - Variação acumulada no ano,199902,fevereiro 1999
1,Brasil,2,%,2.88,1,Brasil,69,IPCA - Variação acumulada no ano,199903,março 1999
1,Brasil,2,%,3.45,1,Brasil,69,IPCA - Variação acumulada no ano,199904,abril 1999
1,Brasil,2,%,3.76,1,Brasil,69,IPCA - Variação acumulada no ano,199905,maio 1999
1,Brasil,2,%,3.96,1,Brasil,69,IPCA - Variação acumulada no ano,199906,junho 1999
1,Brasil,2,%,5.09,1,Brasil,69,IPCA - Variação acumulada no ano,199907,julho 1999
1,Brasil,2,%,5.68,1,Brasil,69,IPCA - Variação acumulada no ano,199908,agosto 1999
1,Brasil,2,%,6.01,1,Brasil,69,IPCA - Variação acumulada no ano,199909,setembro 1999
1,Brasil,2,%,7.27,1,Brasil,69,IPCA - Variação acumulada no ano,199910,outubro 1999
1,Brasil,2,%,8.29,1,Brasil,69,IPCA - Variação acumulada no ano,199911,novembro 1999
1,Brasil,2,%,8.94,1,Brasil,69,IPCA - Variação acumulada no ano,199912,dezembro 1999
1,Brasil,2,%,0.62,1,Brasil,69,IPCA - Variação acumulada no ano,200001,janeiro 2000
1,Brasil,2,%,0.75,1,Brasil,69,IPCA - Variação acumulada no ano,200002,fevereiro 2000
1,Brasil,2,%,0.97,1,Brasil,69,IPCA - Variação acumulada no ano,200003,março 2000
1,Brasil,2,%,1.40,1,Brasil,69,IPCA - Variação acumulada no ano,200004,abril 2000
1,Brasil,2,%,1.41,1,Brasil,69,IPCA - Variação acumulada no ano,200005,maio 2000
1,Brasil,2,%,1.64,1,Brasil,69,IPCA - Variação acumulada no ano,200006,junho 2000
1,Brasil,2,%,3.28,1,Brasil,69,IPCA - Variação acumulada no ano,200007,julho 2000
1,Brasil,2,%,4.63,1,Brasil,69,IPCA - Variação acumulada no ano,200008,agosto 2000
1,Brasil,2,%,4.87,1,Brasil,69,IPCA - Variação acumulada no ano,200009,setembro 2000
1,Brasil,2,%,5.02,1,Brasil,69,IPCA - Variação acumulada no ano,200010,outubro 2000
1,Brasil,2,%,5.35,1,Brasil,69,IPCA - Variação acumulada no ano,200011,novembro 2000
1,Brasil,2,%,5.97,1,Brasil,69,IPCA - Variação acumulada no ano,200012,dezembro 2000
1,Brasil,2,%,0.57,1,Brasil,69,IPCA - Variação acumulada no ano,200101,janeiro 2001
1,Brasil,2,%,1.03,1,Brasil,69,IPCA - Variação acumulada no ano,200102,fevereiro 2001
1,Brasil,2,%,1.42,1,Brasil,69,IPCA - Variação acumulada no ano,200103,março 2001
1,Brasil,2,%,2.00,1,Brasil,69,IPCA - Variação acumulada no ano,200104,abril 2001
1,Brasil,2,%,2.42,1,Brasil,69,IPCA - Variação acumulada no ano,200105,maio 2001
1,Brasil,2,%,2.96,1,Brasil,69,IPCA - Variação acumulada no ano,200106,junho 2001
1,Brasil,2,%,4.32,1,Brasil,69,IPCA - Variação acumulada no ano,200107,julho 2001
